VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,7/1/2015 0:00,7/1/2015 0:08,1,1.78,-74.00379944,40.74750137,1,N,-73.98480225,40.73262405,1,8,0.5,0.5,1.86,0,0.3,11.16
2,7/1/2015 0:00,7/1/2015 0:20,3,5.94,-73.97606659,40.75077057,1,N,-73.94085693,40.81825256,1,19.5,0.5,0.5,2,0,0.3,22.8
2,7/1/2015 0:00,7/1/2015 0:18,1,6.13,-73.98607635,40.72246933,1,N,-73.97686768,40.7903862,2,19.5,0.5,0.5,0,0,0.3,20.8
1,7/1/2015 0:00,7/1/2015 0:45,1,9.8,-73.96568298,40.71048355,99,Y,-73.96234131,40.76063538,1,36,0.5,0.5,7.46,0,0.3,44.76
1,7/1/2015 0:00,7/1/2015 0:08,1,1.8,-73.99156189,40.74938965,1,N,-73.9726181,40.75609207,1,8,0.5,0.5,1.85,0,0.3,11.15
1,7/1/2015 0:00,7/1/2015 0:09,2,1.4,-73.98713684,40.72520065,1,N,-73.97333527,40.74393082,1,8.5,0.5,0.5,0,0,0.3,9.8
1,7/1/2015 0:00,7/1/2015 0:27,1,8.4,-73.98310852,40.73056793,1,N,-73.95090485,40.82585907,1,27,0.5,0.5,2,0,0.3,30.3
1,7/1/2015 0:00,7/1/2015 0:09,1,1.3,-73.9848938,40.75991821,1,N,-74.00278473,40.76052475,2,8,0.5,0.5,0,0,0.3,9.3
1,7/1/2015 0:00,7/1/2015 0:10,1,2.1,-73.97676849,40.75879288,1,N,-73.95459747,40.77809143,1,10,0.5,0.5,2.25,0,0.3,13.55
1,7/1/2015 0:00,7/1/2015 0:13,1,4.2,-73.99233246,40.74839401,1,N,-73.94867706,40.78318024,2,13.5,0.5,0.5,0,0,0.3,14.8
1,7/1/2015 0:00,7/1/2015 0:09,1,1.7,-73.97589111,40.74039078,1,N,-73.99078369,40.75598526,2,8.5,0.5,0.5,0,0,0.3,9.8
2,7/1/2015 0:00,7/1/2015 0:21,1,4.11,-73.98441315,40.77985764,1,N,-73.99369049,40.73590088,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,7/1/2015 0:00,7/1/2015 0:26,6,6.1,-74.00122833,40.74628067,1,N,-73.96292877,40.69004059,1,22.5,0.5,0.5,3,0,0.3,26.8
2,7/1/2015 0:00,7/1/2015 0:10,1,1.36,-73.99144745,40.74994659,1,N,-73.9732132,40.74407196,2,8.5,0.5,0.5,0,0,0.3,9.8
2,7/1/2015 0:00,7/1/2015 0:26,2,11.43,-73.98177338,40.74356842,1,N,-73.97562408,40.63388824,1,33.5,0.5,0.5,3,0,0.3,37.8
2,7/1/2015 0:00,7/1/2015 0:20,5,5.04,-73.97614288,40.76300812,1,N,-73.95680237,40.720047,1,19,0.5,0.5,4.06,0,0.3,24.36
2,7/1/2015 0:00,7/1/2015 0:16,1,6.41,-73.97531891,40.75205994,1,N,-73.98304749,40.69673157,1,20,0.5,0.5,3.5,0,0.3,24.8
1,7/1/2015 0:00,7/1/2015 0:08,1,3.8,-73.98815155,40.72286987,1,N,-73.95018005,40.7167778,1,12.5,0.5,0.5,2.76,0,0.3,16.56
1,7/1/2015 0:00,7/1/2015 0:12,3,1.9,-73.98903656,40.72148514,1,N,-74.00885773,40.70703888,1,10,0.5,0.5,2.25,0,0.3,13.55
2,7/1/2015 0:00,7/1/2015 0:14,3,3.05,-74.00836182,40.73548126,1,N,-73.97785187,40.76515961,1,12.5,0.5,0.5,4.14,0,0.3,17.94
2,7/1/2015 0:00,7/1/2015 0:14,1,4.93,-73.99013519,40.71428299,1,N,-73.95030212,40.74620056,2,16.5,0.5,0.5,0,0,0.3,17.8
2,7/1/2015 0:00,7/1/2015 0:17,1,3.07,-73.98976898,40.72971725,1,N,-73.96695709,40.766716,1,13.5,0.5,0.5,2.96,0,0.3,17.76
1,7/1/2015 0:00,7/1/2015 0:14,1,3.2,-73.99634552,40.72361755,1,N,-73.97537994,40.68613434,1,13,0.5,0.5,3,0,0.3,17.3
1,7/1/2015 0:00,7/1/2015 0:12,1,3.1,-73.96025085,40.71324158,1,N,-74.00570679,40.71780014,1,12,0.5,0.5,2,0,0.3,15.3
1,7/1/2015 0:00,7/1/2015 0:09,1,1.3,-73.98980713,40.7256279,1,N,-74.00521851,40.71525955,1,8,0.5,0.5,2.32,0,0.3,11.62
1,7/1/2015 0:00,7/1/2015 0:21,1,6.9,-73.96886444,40.76428604,1,N,-74.01464081,40.70962143,1,23,0.5,0.5,6.05,0,0.3,30.35
2,7/1/2015 0:00,7/1/2015 0:03,2,0.77,-73.97742462,40.74707413,1,N,-73.97286224,40.755867,1,4.5,0.5,0.5,3,0,0.3,8.8
2,7/1/2015 0:00,7/1/2015 0:26,1,11.81,-73.87454224,40.77396393,1,N,-73.98324585,40.66886139,1,35,0.5,0.5,9.08,0,0.3,45.38
